features,classifiers,macrof
graph,KNN,0.517
graph,LogisticRegression,0.498
graph,NaiveBayes,0.496
graph,NNkeras,0.529
graph,NNscikit-learn,0.515
graph,RandomForest,0.503
best,KNN,0.583
best,LogisticRegression,0.555
best,NaiveBayes,0.394
best,NNkeras,0.546
best,NNscikit-learn,0.564
best,RandomForest,0.504
all,KNN,0.328
all,LogisticRegression,0.480
all,NaiveBayes,0.591
all,NNkeras,0.323
all,NNscikit-learn,0.383
all,RandomForest,0.526
vectorAll,KNN,0.336
vectorAll,LogisticRegression,0.469
vectorAll,NaiveBayes,0.519
vectorAll,NNkeras,0.296
vectorAll,NNscikit-learn,0.381
vectorAll,RandomForest,0.542
bow,KNN,0.441
bow,LogisticRegression,0.455
bow,NaiveBayes,0.418
bow,NNkeras,0.446
bow,NNscikit-learn,0.461
bow,RandomForest,0.461
charngrams,KNN,0.323
charngrams,LogisticRegression,0.277
charngrams,NaiveBayes,0.285
charngrams,NNkeras,0.222
charngrams,NNscikit-learn,0.343
charngrams,RandomForest,0.313
ngrams,KNN,0.293
ngrams,LogisticRegression,0.277
ngrams,NaiveBayes,0.304
ngrams,NNkeras,0.285
ngrams,NNscikit-learn,0.323
ngrams,RandomForest,0.298
sentiment,KNN,0.289
sentiment,LogisticRegression,0.270
sentiment,NaiveBayes,0.270
sentiment,NNkeras,0.270
sentiment,NNscikit-learn,0.270
sentiment,RandomForest,0.270
spelling,KNN,0.350
spelling,LogisticRegression,0.270
spelling,NaiveBayes,0.270
spelling,NNkeras,0.270
spelling,NNscikit-learn,0.270
spelling,RandomForest,0.370
syntax,KNN,0.374
syntax,LogisticRegression,0.300
syntax,NaiveBayes,0.355
syntax,NNkeras,0.270
syntax,NNscikit-learn,0.281
syntax,RandomForest,0.372
word2vec,KNN,0.417
word2vec,LogisticRegression,0.402
word2vec,NaiveBayes,0.399
word2vec,NNkeras,0.408
word2vec,NNscikit-learn,0.418
word2vec,RandomForest,0.398
