features,classifiers,macrof
sentiment,KNN,0.289
sentiment,LogisticRegression,0.270
sentiment,NaiveBayes,0.270
sentiment,NNkeras,0.270
sentiment,NNscikit-learn,0.270
sentiment,RandomForest,0.270
spelling,KNN,0.350
spelling,LogisticRegression,0.270
spelling,NaiveBayes,0.270
spelling,NNkeras,0.270
spelling,NNscikit-learn,0.270
spelling,RandomForest,0.370
syntax,KNN,0.374
syntax,LogisticRegression,0.300
syntax,NaiveBayes,0.355
syntax,NNkeras,0.270
syntax,NNscikit-learn,0.281
syntax,RandomForest,0.372
