features,classifiers,microf
graph,KNN,0.806
graph,LogisticRegression,0.797
graph,NaiveBayes,0.794
graph,NNkeras,0.802
graph,NNscikit-learn,0.806
graph,RandomForest,0.802
best,KNN,0.854
best,LogisticRegression,0.855
best,NaiveBayes,0.107
best,NNkeras,0.848
best,NNscikit-learn,0.853
best,RandomForest,0.814
all,KNN,0.752
all,LogisticRegression,0.734
all,NaiveBayes,0.808
all,NNkeras,0.771
all,NNscikit-learn,0.623
all,RandomForest,0.792
vectorAll,KNN,0.752
vectorAll,LogisticRegression,0.721
vectorAll,NaiveBayes,0.774
vectorAll,NNkeras,0.771
vectorAll,NNscikit-learn,0.712
vectorAll,RandomForest,0.776
bow,KNN,0.807
bow,LogisticRegression,0.813
bow,NaiveBayes,0.112
bow,NNkeras,0.811
bow,NNscikit-learn,0.812
bow,RandomForest,0.812
charngrams,KNN,0.753
charngrams,LogisticRegression,0.733
charngrams,NaiveBayes,0.266
charngrams,NNkeras,0.771
charngrams,NNscikit-learn,0.518
charngrams,RandomForest,0.648
ngrams,KNN,0.696
ngrams,LogisticRegression,0.709
ngrams,NaiveBayes,0.264
ngrams,NNkeras,0.771
ngrams,NNscikit-learn,0.533
ngrams,RandomForest,0.626
sentiment,KNN,0.699
sentiment,LogisticRegression,0.699
sentiment,NaiveBayes,0.699
sentiment,NNkeras,0.699
sentiment,NNscikit-learn,0.699
sentiment,RandomForest,0.699
spelling,KNN,0.760
spelling,LogisticRegression,0.771
spelling,NaiveBayes,0.771
spelling,NNkeras,0.771
spelling,NNscikit-learn,0.771
spelling,RandomForest,0.738
syntax,KNN,0.755
syntax,LogisticRegression,0.771
syntax,NaiveBayes,0.771
syntax,NNkeras,0.771
syntax,NNscikit-learn,0.771
syntax,RandomForest,0.642
word2vec,KNN,0.810
word2vec,LogisticRegression,0.813
word2vec,NaiveBayes,0.720
word2vec,NNkeras,0.819
word2vec,NNscikit-learn,0.829
word2vec,RandomForest,0.801
