features,classifiers,microf
sentiment,KNN,0.699
sentiment,LogisticRegression,0.699
sentiment,NaiveBayes,0.699
sentiment,NNkeras,0.699
sentiment,NNscikit-learn,0.699
sentiment,RandomForest,0.699
spelling,KNN,0.760
spelling,LogisticRegression,0.771
spelling,NaiveBayes,0.771
spelling,NNkeras,0.771
spelling,NNscikit-learn,0.771
spelling,RandomForest,0.738
syntax,KNN,0.755
syntax,LogisticRegression,0.771
syntax,NaiveBayes,0.771
syntax,NNkeras,0.771
syntax,NNscikit-learn,0.771
syntax,RandomForest,0.642
