features,classifiers,macrof
sentiment,KNN,0.501
sentiment,LogisticRegression,0.328
sentiment,NaiveBayes,0.453
sentiment,NNkeras,0.429
sentiment,NNscikit-learn,0.384
sentiment,RandomForest,0.453
spelling,KNN,0.523
spelling,LogisticRegression,0.578
spelling,NaiveBayes,0.529
spelling,NNkeras,0.566
spelling,NNscikit-learn,0.561
spelling,RandomForest,0.530
syntax,KNN,0.538
syntax,LogisticRegression,0.385
syntax,NaiveBayes,0.385
syntax,NNkeras,0.527
syntax,NNscikit-learn,0.533
syntax,RandomForest,0.536
