features,classifiers,microf
graph,KNN,0.736
graph,LogisticRegression,0.739
graph,NaiveBayes,0.713
graph,NNkeras,0.727
graph,NNscikit-learn,0.740
graph,RandomForest,0.726
best,KNN,0.820
best,LogisticRegression,0.831
best,NaiveBayes,0.667
best,NNkeras,0.819
best,NNscikit-learn,0.831
best,RandomForest,0.759
all,KNN,0.569
all,LogisticRegression,0.772
all,NaiveBayes,0.792
all,NNkeras,0.629
all,NNscikit-learn,0.678
all,RandomForest,0.731
vectorAll,KNN,0.569
vectorAll,LogisticRegression,0.756
vectorAll,NaiveBayes,0.783
vectorAll,NNkeras,0.640
vectorAll,NNscikit-learn,0.675
vectorAll,RandomForest,0.742
bow,KNN,0.763
bow,LogisticRegression,0.776
bow,NaiveBayes,0.665
bow,NNkeras,0.776
bow,NNscikit-learn,0.776
bow,RandomForest,0.776
charngrams,KNN,0.567
charngrams,LogisticRegression,0.596
charngrams,NaiveBayes,0.591
charngrams,NNkeras,0.603
charngrams,NNscikit-learn,0.526
charngrams,RandomForest,0.563
ngrams,KNN,0.561
ngrams,LogisticRegression,0.594
ngrams,NaiveBayes,0.589
ngrams,NNkeras,0.627
ngrams,NNscikit-learn,0.563
ngrams,RandomForest,0.499
sentiment,KNN,0.501
sentiment,LogisticRegression,0.500
sentiment,NaiveBayes,0.500
sentiment,NNkeras,0.500
sentiment,NNscikit-learn,0.500
sentiment,RandomForest,0.500
spelling,KNN,0.587
spelling,LogisticRegression,0.629
spelling,NaiveBayes,0.621
spelling,NNkeras,0.630
spelling,NNscikit-learn,0.630
spelling,RandomForest,0.604
syntax,KNN,0.599
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.633
syntax,NNscikit-learn,0.633
syntax,RandomForest,0.562
word2vec,KNN,0.765
word2vec,LogisticRegression,0.769
word2vec,NaiveBayes,0.726
word2vec,NNkeras,0.788
word2vec,NNscikit-learn,0.800
word2vec,RandomForest,0.755
