features,classifiers,microf
sentiment,KNN,0.501
sentiment,LogisticRegression,0.500
sentiment,NaiveBayes,0.500
sentiment,NNkeras,0.500
sentiment,NNscikit-learn,0.500
sentiment,RandomForest,0.500
spelling,KNN,0.587
spelling,LogisticRegression,0.629
spelling,NaiveBayes,0.621
spelling,NNkeras,0.630
spelling,NNscikit-learn,0.630
spelling,RandomForest,0.604
syntax,KNN,0.599
syntax,LogisticRegression,0.627
syntax,NaiveBayes,0.627
syntax,NNkeras,0.633
syntax,NNscikit-learn,0.633
syntax,RandomForest,0.562
