features,classifiers,macrof
graph,KNN,0.723
graph,LogisticRegression,0.715
graph,NaiveBayes,0.682
graph,NNkeras,0.714
graph,NNscikit-learn,0.720
graph,RandomForest,0.713
graph,KNN,0.723
graph,LogisticRegression,0.723
graph,NaiveBayes,0.688
graph,NNkeras,0.730
graph,NNscikit-learn,0.725
graph,RandomForest,0.700
graph,KNN,0.709
graph,LogisticRegression,0.708
graph,NaiveBayes,0.678
graph,NNkeras,0.718
graph,NNscikit-learn,0.714
graph,RandomForest,0.698
graph,KNN,0.713
graph,LogisticRegression,0.712
graph,NaiveBayes,0.677
graph,NNkeras,0.695
graph,NNscikit-learn,0.712
graph,RandomForest,0.694
graph,KNN,0.719
graph,LogisticRegression,0.722
graph,NaiveBayes,0.684
graph,NNkeras,0.729
graph,NNscikit-learn,0.732
graph,RandomForest,0.705
graph,KNN,0.708
graph,LogisticRegression,0.712
graph,NaiveBayes,0.662
graph,NNkeras,0.724
graph,NNscikit-learn,0.713
graph,RandomForest,0.702
graph,KNN,0.714
graph,LogisticRegression,0.716
graph,NaiveBayes,0.680
graph,NNkeras,0.728
graph,NNscikit-learn,0.725
graph,RandomForest,0.696
graph,KNN,0.698
graph,LogisticRegression,0.699
graph,NaiveBayes,0.668
graph,NNkeras,0.715
graph,NNscikit-learn,0.699
graph,RandomForest,0.691
graph,KNN,0.712
graph,LogisticRegression,0.708
graph,NaiveBayes,0.680
graph,NNkeras,0.715
graph,NNscikit-learn,0.707
graph,RandomForest,0.702
graph,KNN,0.701
graph,LogisticRegression,0.702
graph,NaiveBayes,0.678
graph,NNkeras,0.710
graph,NNscikit-learn,0.711
graph,RandomForest,0.685
best,KNN,0.801
best,LogisticRegression,0.821
best,NaiveBayes,0.634
best,NNkeras,0.807
best,NNscikit-learn,0.817
best,RandomForest,0.736
best,KNN,0.809
best,LogisticRegression,0.821
best,NaiveBayes,0.629
best,NNkeras,0.836
best,NNscikit-learn,0.836
best,RandomForest,0.749
best,KNN,0.828
best,LogisticRegression,0.820
best,NaiveBayes,0.650
best,NNkeras,0.817
best,NNscikit-learn,0.818
best,RandomForest,0.742
best,KNN,0.810
best,LogisticRegression,0.821
best,NaiveBayes,0.627
best,NNkeras,0.814
best,NNscikit-learn,0.824
best,RandomForest,0.738
best,KNN,0.806
best,LogisticRegression,0.825
best,NaiveBayes,0.625
best,NNkeras,0.834
best,NNscikit-learn,0.826
best,RandomForest,0.739
best,KNN,0.799
best,LogisticRegression,0.821
best,NaiveBayes,0.632
best,NNkeras,0.826
best,NNscikit-learn,0.823
best,RandomForest,0.729
best,KNN,0.820
best,LogisticRegression,0.824
best,NaiveBayes,0.638
best,NNkeras,0.785
best,NNscikit-learn,0.833
best,RandomForest,0.730
best,KNN,0.801
best,LogisticRegression,0.811
best,NaiveBayes,0.615
best,NNkeras,0.742
best,NNscikit-learn,0.815
best,RandomForest,0.723
best,KNN,0.809
best,LogisticRegression,0.817
best,NaiveBayes,0.629
best,NNkeras,0.804
best,NNscikit-learn,0.791
best,RandomForest,0.724
best,KNN,0.815
best,LogisticRegression,0.810
best,NaiveBayes,0.643
best,NNkeras,0.808
best,NNscikit-learn,0.808
best,RandomForest,0.730
all,KNN,0.516
all,LogisticRegression,0.799
all,NaiveBayes,0.795
all,NNkeras,0.576
all,NNscikit-learn,0.630
all,RandomForest,0.713
all,KNN,0.494
all,LogisticRegression,0.703
all,NaiveBayes,0.800
all,NNkeras,0.567
all,NNscikit-learn,0.609
all,RandomForest,0.695
all,KNN,0.490
all,LogisticRegression,0.734
all,NaiveBayes,0.800
all,NNkeras,0.602
all,NNscikit-learn,0.602
all,RandomForest,0.705
all,KNN,0.494
all,LogisticRegression,0.793
all,NaiveBayes,0.790
all,NNkeras,0.598
all,NNscikit-learn,0.655
all,RandomForest,0.702
all,KNN,0.494
all,LogisticRegression,0.772
all,NaiveBayes,0.790
all,NNkeras,0.515
all,NNscikit-learn,0.753
all,RandomForest,0.683
all,KNN,0.512
all,LogisticRegression,0.791
all,NaiveBayes,0.798
all,NNkeras,0.385
all,NNscikit-learn,0.635
all,RandomForest,0.709
all,KNN,0.491
all,LogisticRegression,0.739
all,NaiveBayes,0.796
all,NNkeras,0.582
all,NNscikit-learn,0.627
all,RandomForest,0.723
all,KNN,0.488
all,LogisticRegression,0.719
all,NaiveBayes,0.775
all,NNkeras,0.385
all,NNscikit-learn,0.725
all,RandomForest,0.704
all,KNN,0.481
all,LogisticRegression,0.786
all,NaiveBayes,0.796
all,NNkeras,0.585
all,NNscikit-learn,0.694
all,RandomForest,0.674
all,KNN,0.509
all,LogisticRegression,0.760
all,NaiveBayes,0.805
all,NNkeras,0.571
all,NNscikit-learn,0.710
all,RandomForest,0.691
vectorAll,KNN,0.516
vectorAll,LogisticRegression,0.742
vectorAll,NaiveBayes,0.781
vectorAll,NNkeras,0.598
vectorAll,NNscikit-learn,0.746
vectorAll,RandomForest,0.733
vectorAll,KNN,0.494
vectorAll,LogisticRegression,0.744
vectorAll,NaiveBayes,0.791
vectorAll,NNkeras,0.585
vectorAll,NNscikit-learn,0.596
vectorAll,RandomForest,0.717
vectorAll,KNN,0.490
vectorAll,LogisticRegression,0.691
vectorAll,NaiveBayes,0.795
vectorAll,NNkeras,0.584
vectorAll,NNscikit-learn,0.626
vectorAll,RandomForest,0.734
vectorAll,KNN,0.494
vectorAll,LogisticRegression,0.769
vectorAll,NaiveBayes,0.785
vectorAll,NNkeras,0.590
vectorAll,NNscikit-learn,0.641
vectorAll,RandomForest,0.728
vectorAll,KNN,0.494
vectorAll,LogisticRegression,0.778
vectorAll,NaiveBayes,0.780
vectorAll,NNkeras,0.589
vectorAll,NNscikit-learn,0.722
vectorAll,RandomForest,0.738
vectorAll,KNN,0.512
vectorAll,LogisticRegression,0.776
vectorAll,NaiveBayes,0.795
vectorAll,NNkeras,0.595
vectorAll,NNscikit-learn,0.674
vectorAll,RandomForest,0.743
vectorAll,KNN,0.491
vectorAll,LogisticRegression,0.751
vectorAll,NaiveBayes,0.787
vectorAll,NNkeras,0.585
vectorAll,NNscikit-learn,0.703
vectorAll,RandomForest,0.725
vectorAll,KNN,0.488
vectorAll,LogisticRegression,0.757
vectorAll,NaiveBayes,0.771
vectorAll,NNkeras,0.592
vectorAll,NNscikit-learn,0.688
vectorAll,RandomForest,0.712
vectorAll,KNN,0.481
vectorAll,LogisticRegression,0.745
vectorAll,NaiveBayes,0.782
vectorAll,NNkeras,0.621
vectorAll,NNscikit-learn,0.714
vectorAll,RandomForest,0.720
vectorAll,KNN,0.509
vectorAll,LogisticRegression,0.695
vectorAll,NaiveBayes,0.798
vectorAll,NNkeras,0.581
vectorAll,NNscikit-learn,0.579
vectorAll,RandomForest,0.724
bow,KNN,0.807
bow,LogisticRegression,0.808
bow,NaiveBayes,0.631
bow,NNkeras,0.808
bow,NNscikit-learn,0.807
bow,RandomForest,0.807
bow,KNN,0.811
bow,LogisticRegression,0.815
bow,NaiveBayes,0.629
bow,NNkeras,0.814
bow,NNscikit-learn,0.815
bow,RandomForest,0.814
bow,KNN,0.801
bow,LogisticRegression,0.806
bow,NaiveBayes,0.651
bow,NNkeras,0.807
bow,NNscikit-learn,0.805
bow,RandomForest,0.805
bow,KNN,0.807
bow,LogisticRegression,0.809
bow,NaiveBayes,0.626
bow,NNkeras,0.809
bow,NNscikit-learn,0.808
bow,RandomForest,0.808
bow,KNN,0.801
bow,LogisticRegression,0.808
bow,NaiveBayes,0.613
bow,NNkeras,0.809
bow,NNscikit-learn,0.808
bow,RandomForest,0.808
bow,KNN,0.811
bow,LogisticRegression,0.811
bow,NaiveBayes,0.626
bow,NNkeras,0.811
bow,NNscikit-learn,0.810
bow,RandomForest,0.811
bow,KNN,0.812
bow,LogisticRegression,0.814
bow,NaiveBayes,0.639
bow,NNkeras,0.814
bow,NNscikit-learn,0.813
bow,RandomForest,0.814
bow,KNN,0.780
bow,LogisticRegression,0.800
bow,NaiveBayes,0.611
bow,NNkeras,0.800
bow,NNscikit-learn,0.799
bow,RandomForest,0.800
bow,KNN,0.636
bow,LogisticRegression,0.802
bow,NaiveBayes,0.623
bow,NNkeras,0.799
bow,NNscikit-learn,0.802
bow,RandomForest,0.800
bow,KNN,0.807
bow,LogisticRegression,0.809
bow,NaiveBayes,0.639
bow,NNkeras,0.809
bow,NNscikit-learn,0.808
bow,RandomForest,0.808
charngrams,KNN,0.496
charngrams,LogisticRegression,0.385
charngrams,NaiveBayes,0.490
charngrams,NNkeras,0.385
charngrams,NNscikit-learn,0.565
charngrams,RandomForest,0.490
charngrams,KNN,0.498
charngrams,LogisticRegression,0.502
charngrams,NaiveBayes,0.507
charngrams,NNkeras,0.385
charngrams,NNscikit-learn,0.496
charngrams,RandomForest,0.492
charngrams,KNN,0.482
charngrams,LogisticRegression,0.385
charngrams,NaiveBayes,0.491
charngrams,NNkeras,0.385
charngrams,NNscikit-learn,0.520
charngrams,RandomForest,0.501
